userid_A,userid_B,liked,
37,50,TRUE,
83,66,FALSE,
76,58,TRUE,
61,74,TRUE,
59,66,FALSE,
55,64,FALSE,
73,72,TRUE,
109,96,TRUE,
72,80,FALSE,
99,97,TRUE,
95,84,TRUE,
89,80,TRUE,
62,58,FALSE,
93,89,FALSE,
97,109,TRUE,
21,24,FALSE,
79,83,TRUE,
42,51,TRUE,
26,28,TRUE,
96,76,TRUE,
72,54,TRUE,
52,48,TRUE,
44,45,FALSE,
43,38,FALSE,
115,111,FALSE,
23,26,FALSE,
34,30,FALSE,
36,39,TRUE,
93,86,TRUE,
112,100,TRUE,
107,120,FALSE,
75,71,FALSE,
22,26,TRUE,
72,61,TRUE,
51,52,FALSE,
38,52,TRUE,
9,26,FALSE,
22,15,FALSE,
70,67,FALSE,
10,19,FALSE,
36,53,TRUE,
93,86,FALSE,
18,14,TRUE,
73,58,FALSE,
62,76,FALSE,
50,48,TRUE,
68,70,TRUE,
42,56,TRUE,
101,88,TRUE,
84,75,FALSE,
60,61,FALSE,
61,64,TRUE,
84,81,TRUE,
92,102,TRUE,
48,39,TRUE,
104,114,FALSE,
8,14,FALSE,
65,74,FALSE,
53,50,TRUE,
11,23,FALSE,
65,61,TRUE,
104,106,TRUE,
8,12,FALSE,
96,92,TRUE,
49,54,TRUE,
38,28,TRUE,
104,112,FALSE,
61,47,TRUE,
98,96,FALSE,
14,17,TRUE,
36,27,TRUE,
46,31,TRUE,
38,25,TRUE,
67,51,FALSE,
99,118,TRUE,
91,94,FALSE,
105,91,TRUE,
71,82,TRUE,
57,59,FALSE,
29,28,FALSE,
94,90,FALSE,
76,66,FALSE,
51,44,TRUE,
68,61,FALSE,
27,28,TRUE,
34,21,TRUE,
37,51,FALSE,
98,105,TRUE,
23,22,TRUE,
101,102,TRUE,
78,75,TRUE,
26,24,FALSE,
100,111,TRUE,
38,34,FALSE,
64,62,FALSE,
84,76,TRUE,
44,43,TRUE,
27,30,FALSE,
81,100,FALSE,
69,71,TRUE,
13,1,TRUE,
92,84,FALSE,
24,26,TRUE,
15,11,TRUE,
84,93,TRUE,
81,88,TRUE,
64,59,TRUE,
82,100,TRUE,
25,33,FALSE,
62,74,FALSE,
108,109,TRUE,
15,11,TRUE,
80,68,TRUE,
101,100,TRUE,
52,45,FALSE,
76,78,TRUE,
82,84,FALSE,
113,102,TRUE,
48,37,FALSE,
35,36,TRUE,
45,55,TRUE,
37,33,TRUE,
93,83,TRUE,
78,76,TRUE,
24,25,TRUE,
101,111,FALSE,
58,56,TRUE,
57,54,TRUE,
36,42,FALSE,
47,57,FALSE,
97,96,TRUE,
21,34,FALSE,
96,83,TRUE,
61,53,FALSE,
82,74,TRUE,
42,40,TRUE,
38,44,FALSE,
97,88,TRUE,
28,36,TRUE,
40,44,TRUE,
104,96,FALSE,
80,87,TRUE,
21,28,TRUE,
56,68,TRUE,
69,77,TRUE,
81,83,FALSE,
91,79,TRUE,
66,63,TRUE,
90,99,TRUE,
96,101,TRUE,
71,63,FALSE,
115,104,TRUE,
69,82,FALSE,
73,67,FALSE,
22,39,FALSE,
61,60,TRUE,
28,17,FALSE,
93,97,FALSE,
58,53,FALSE,
74,90,FALSE,
35,36,FALSE,
85,73,TRUE,
72,89,FALSE,
109,119,TRUE,
63,62,FALSE,
49,59,FALSE,
30,38,TRUE,
115,101,FALSE,
67,56,TRUE,
57,49,FALSE,
23,7,TRUE,
104,98,FALSE,
65,59,FALSE,
9,23,FALSE,
59,49,FALSE,
39,43,FALSE,
68,60,FALSE,
64,62,TRUE,
91,95,TRUE,
36,27,FALSE,
109,98,FALSE,
76,73,TRUE,
107,105,TRUE,
51,36,FALSE,
99,108,TRUE,
72,77,FALSE,
6,19,FALSE,
95,83,FALSE,
81,63,TRUE,
50,60,FALSE,
2,12,TRUE,
20,10,FALSE,
111,114,FALSE,
74,88,TRUE,
52,65,FALSE,
76,82,FALSE,
38,39,TRUE,
64,63,TRUE,
91,92,TRUE,
61,77,FALSE,
81,96,TRUE,
108,106,TRUE,
76,77,FALSE,
62,71,TRUE,
109,94,FALSE,
62,67,TRUE,
30,23,TRUE,
56,41,FALSE,
74,78,FALSE,
77,75,TRUE,
46,57,FALSE,
88,89,TRUE,
20,22,FALSE,
109,94,TRUE,
22,20,TRUE,
26,12,FALSE,
78,86,TRUE,
93,98,FALSE,
68,67,TRUE,
40,49,FALSE,
77,63,TRUE,
32,25,TRUE,
46,48,FALSE,
38,33,FALSE,
91,83,TRUE,
66,62,TRUE,
92,90,TRUE,
34,19,FALSE,
51,36,TRUE,
91,87,FALSE,
92,79,FALSE,
84,78,FALSE,
49,57,TRUE,
64,74,TRUE,
112,95,FALSE,
81,62,FALSE,
24,25,TRUE,
80,79,FALSE,
44,33,TRUE,
101,103,FALSE,
60,41,TRUE,
23,25,TRUE,
77,78,TRUE,
12,19,FALSE,
39,49,FALSE,
39,44,FALSE,
70,62,FALSE,
90,76,FALSE,
75,87,FALSE,
86,84,TRUE,
54,38,FALSE,
15,18,FALSE,
84,77,TRUE,
115,116,TRUE,
96,91,FALSE,
78,91,TRUE,
24,22,TRUE,
63,68,TRUE,
72,77,TRUE,
30,28,TRUE,
81,89,FALSE,
50,51,TRUE,
35,29,TRUE,
12,17,TRUE,
36,48,FALSE,
24,18,TRUE,
20,10,TRUE,
99,91,FALSE,
35,32,FALSE,
35,38,TRUE,
14,13,TRUE,
84,83,TRUE,
68,70,FALSE,
106,104,FALSE,
61,64,FALSE,
108,103,TRUE,
19,20,TRUE,
75,65,FALSE,
70,66,TRUE,
11,21,TRUE,
48,62,FALSE,
25,30,FALSE,
13,1,TRUE,
76,71,TRUE,
51,52,FALSE,
97,86,TRUE,
109,96,TRUE,
13,26,FALSE,
92,102,FALSE,
76,81,FALSE,
75,70,FALSE,
107,118,TRUE,
64,47,TRUE,
60,74,FALSE,
6,20,TRUE,
39,35,FALSE,
27,26,TRUE,
97,98,TRUE,
96,103,FALSE,
15,27,TRUE,
75,84,TRUE,
28,25,TRUE,
32,18,TRUE,
117,102,FALSE,
49,56,FALSE,
59,58,TRUE,
105,92,FALSE,
85,76,FALSE,
14,16,TRUE,
61,67,TRUE,
16,21,TRUE,
43,48,FALSE,
81,73,FALSE,
54,56,FALSE,
71,70,FALSE,
108,112,FALSE,
44,48,FALSE,
79,74,TRUE,
78,67,FALSE,
7,18,TRUE,
41,53,FALSE,
89,71,TRUE,
62,51,FALSE,
31,49,FALSE,
111,118,FALSE,
77,65,TRUE,
52,50,FALSE,
84,70,TRUE,
1,7,FALSE,
45,40,TRUE,
107,99,FALSE,
74,83,TRUE,
109,103,FALSE,
13,28,TRUE,
102,106,FALSE,
50,56,FALSE,
99,103,TRUE,
113,97,TRUE,
113,112,FALSE,
28,19,TRUE,
74,66,FALSE,
24,13,FALSE,
33,25,FALSE,
50,47,FALSE,
54,59,TRUE,
31,28,TRUE,
55,59,TRUE,
81,93,TRUE,
18,16,FALSE,
43,46,TRUE,
20,39,FALSE,
18,23,TRUE,
78,76,TRUE,
102,87,TRUE,
100,110,FALSE,
47,38,FALSE,
88,82,TRUE,
68,81,TRUE,
64,57,FALSE,
21,22,TRUE,
95,101,FALSE,
16,10,TRUE,
77,93,FALSE,
8,14,FALSE,
79,87,TRUE,
98,99,FALSE,
77,74,TRUE,
26,24,FALSE,
10,24,TRUE,
50,52,FALSE,
20,23,FALSE,
87,78,FALSE,
21,28,FALSE,
96,109,TRUE,
103,99,FALSE,
96,94,FALSE,
71,56,TRUE,
109,107,FALSE,
38,49,TRUE,
104,96,FALSE,
23,28,TRUE,
47,40,TRUE,
16,14,TRUE,
77,72,TRUE,
21,17,TRUE,
56,57,TRUE,
44,52,FALSE,
54,50,FALSE,
39,41,FALSE,
19,16,FALSE,
20,27,TRUE,
24,31,TRUE,
106,99,TRUE,
51,41,FALSE,
93,89,TRUE,
81,89,FALSE,
52,56,TRUE,
32,34,TRUE,
95,97,FALSE,
31,19,TRUE,
73,77,TRUE,
99,105,FALSE,
64,56,TRUE,
100,109,TRUE,
86,106,FALSE,
113,102,FALSE,
92,107,FALSE,
64,76,TRUE,
72,79,FALSE,
11,16,FALSE,
13,12,FALSE,
46,35,TRUE,
43,36,TRUE,
82,84,FALSE,
72,75,FALSE,
11,15,FALSE,
68,67,FALSE,
44,45,FALSE,
30,23,FALSE,
56,47,TRUE,
91,90,TRUE,
47,31,TRUE,
14,21,TRUE,
