userid_A,userid_B,liked,
33,38,FALSE,
50,41,FALSE,
34,32,TRUE,
35,34,FALSE,
53,50,TRUE,
53,49,TRUE,
111,107,FALSE,
102,105,TRUE,
30,27,TRUE,
32,20,TRUE,
69,60,TRUE,
46,56,TRUE,
69,63,FALSE,
29,40,TRUE,
100,116,FALSE,
63,56,FALSE,
33,32,TRUE,
27,31,TRUE,
88,87,FALSE,
65,72,FALSE,
73,62,TRUE,
25,29,TRUE,
100,96,FALSE,
117,106,TRUE,
32,20,TRUE,
63,61,TRUE,
30,33,TRUE,
54,42,FALSE,
86,90,FALSE,
39,50,TRUE,
111,118,TRUE,
41,46,TRUE,
105,98,TRUE,
11,16,FALSE,
84,72,TRUE,
88,96,FALSE,
36,45,TRUE,
33,35,FALSE,
78,79,TRUE,
43,26,TRUE,
44,58,TRUE,
99,89,TRUE,
96,98,TRUE,
106,94,TRUE,
30,35,FALSE,
57,59,FALSE,
112,101,TRUE,
73,77,TRUE,
90,82,TRUE,
75,59,TRUE,
110,97,FALSE,
89,85,FALSE,
73,69,FALSE,
78,79,TRUE,
29,36,FALSE,
48,50,TRUE,
53,49,TRUE,
100,103,FALSE,
53,46,TRUE,
46,34,TRUE,
91,86,FALSE,
23,27,TRUE,
33,31,TRUE,
97,110,FALSE,
52,38,TRUE,
50,56,TRUE,
74,63,TRUE,
14,6,TRUE,
99,83,TRUE,
52,46,FALSE,
85,93,TRUE,
28,32,TRUE,
43,45,TRUE,
32,39,TRUE,
18,24,FALSE,
14,27,TRUE,
76,80,FALSE,
73,86,TRUE,
40,46,FALSE,
40,31,FALSE,
47,40,TRUE,
18,22,FALSE,
99,91,FALSE,
3,7,FALSE,
104,94,FALSE,
46,56,FALSE,
41,51,TRUE,
44,47,FALSE,
95,86,TRUE,
59,68,FALSE,
82,76,FALSE,
30,35,TRUE,
53,54,FALSE,
36,30,TRUE,
48,56,FALSE,
60,64,TRUE,
18,33,FALSE,
36,33,FALSE,
94,101,FALSE,
96,95,FALSE,
40,46,FALSE,
9,6,TRUE,
55,63,TRUE,
55,63,FALSE,
1,9,FALSE,
24,6,TRUE,
17,18,TRUE,
6,17,FALSE,
69,66,TRUE,
86,72,FALSE,
41,34,FALSE,
16,19,FALSE,
108,107,TRUE,
100,117,FALSE,
37,36,TRUE,
29,35,FALSE,
24,33,FALSE,
115,102,FALSE,
59,68,TRUE,
54,36,FALSE,
53,50,FALSE,
44,45,FALSE,
49,67,TRUE,
59,46,TRUE,
14,15,TRUE,
49,33,TRUE,
105,94,FALSE,
105,110,TRUE,
103,101,TRUE,
101,83,FALSE,
48,43,TRUE,
52,54,FALSE,
97,94,TRUE,
23,34,TRUE,
86,81,FALSE,
84,98,FALSE,
17,4,FALSE,
93,91,TRUE,
74,86,FALSE,
81,80,TRUE,
14,7,FALSE,
85,96,TRUE,
84,77,TRUE,
42,46,FALSE,
35,24,TRUE,
38,18,FALSE,
59,50,FALSE,
56,68,TRUE,
43,36,FALSE,
80,93,TRUE,
49,54,TRUE,
82,99,FALSE,
11,23,FALSE,
90,96,TRUE,
91,103,TRUE,
60,65,TRUE,
94,89,FALSE,
85,93,TRUE,
71,66,FALSE,
34,18,FALSE,
66,70,FALSE,
32,18,FALSE,
72,58,TRUE,
41,57,TRUE,
74,78,FALSE,
111,102,FALSE,
59,54,TRUE,
59,52,TRUE,
43,42,TRUE,
88,71,FALSE,
97,96,TRUE,
100,92,TRUE,
77,83,TRUE,
92,101,FALSE,
85,93,FALSE,
84,86,FALSE,
42,54,FALSE,
89,86,FALSE,
22,21,TRUE,
43,52,FALSE,
37,27,FALSE,
90,93,TRUE,
61,65,TRUE,
47,37,FALSE,
90,89,TRUE,
81,94,TRUE,
99,109,TRUE,
6,21,TRUE,
114,112,TRUE,
26,20,FALSE,
33,30,TRUE,
28,34,TRUE,
63,56,TRUE,
99,102,TRUE,
66,60,FALSE,
4,18,TRUE,
26,17,TRUE,
81,65,FALSE,
87,88,FALSE,
14,16,TRUE,
77,87,TRUE,
93,87,FALSE,
16,6,FALSE,
95,83,FALSE,
56,65,TRUE,
68,61,TRUE,
54,61,FALSE,
71,68,TRUE,
28,22,TRUE,
56,42,FALSE,
30,25,FALSE,
26,12,TRUE,
113,106,TRUE,
21,32,FALSE,
57,44,TRUE,
32,40,TRUE,
113,99,FALSE,
90,87,FALSE,
53,61,FALSE,
108,104,FALSE,
61,51,TRUE,
107,96,TRUE,
14,16,FALSE,
83,88,TRUE,
72,64,FALSE,
83,95,TRUE,
74,69,TRUE,
54,49,FALSE,
98,80,TRUE,
22,21,TRUE,
84,92,TRUE,
58,48,TRUE,
31,29,FALSE,
78,98,FALSE,
45,38,TRUE,
99,106,FALSE,
26,25,FALSE,
74,76,TRUE,
79,87,TRUE,
98,88,TRUE,
56,65,TRUE,
24,10,FALSE,
71,67,FALSE,
78,67,FALSE,
110,112,FALSE,
59,53,FALSE,
16,11,FALSE,
84,76,FALSE,
24,31,FALSE,
78,72,TRUE,
29,25,FALSE,
49,59,TRUE,
111,116,FALSE,
46,50,TRUE,
84,72,FALSE,
74,68,FALSE,
32,24,FALSE,
74,60,TRUE,
96,100,FALSE,
106,100,TRUE,
94,95,FALSE,
80,77,TRUE,
73,77,FALSE,
46,63,FALSE,
53,58,TRUE,
36,50,FALSE,
25,36,FALSE,
75,70,TRUE,
27,42,TRUE,
63,74,FALSE,
89,83,FALSE,
104,92,FALSE,
38,29,FALSE,
84,91,FALSE,
91,78,TRUE,
34,39,TRUE,
84,85,TRUE,
88,85,TRUE,
38,40,TRUE,
51,50,FALSE,
15,11,FALSE,
57,51,TRUE,
31,33,TRUE,
96,94,TRUE,
38,30,FALSE,
100,96,FALSE,
70,80,TRUE,
37,46,TRUE,
68,81,FALSE,
79,69,FALSE,
55,52,TRUE,
4,19,TRUE,
98,112,FALSE,
60,59,FALSE,
58,53,TRUE,
66,60,FALSE,
107,98,TRUE,
22,16,FALSE,
28,31,FALSE,
69,60,TRUE,
49,44,FALSE,
32,35,FALSE,
97,93,FALSE,
97,93,FALSE,
74,72,TRUE,
37,32,FALSE,
92,85,FALSE,
97,102,FALSE,
53,66,TRUE,
99,105,FALSE,
98,107,TRUE,
36,48,TRUE,
71,84,TRUE,
18,22,TRUE,
91,86,FALSE,
17,27,TRUE,
18,27,TRUE,
32,43,FALSE,
78,74,FALSE,
60,62,FALSE,
55,40,FALSE,
112,106,TRUE,
26,40,TRUE,
67,78,TRUE,
82,76,FALSE,
39,38,TRUE,
44,43,FALSE,
73,75,TRUE,
57,71,FALSE,
44,43,TRUE,
40,33,TRUE,
65,82,FALSE,
106,112,TRUE,
49,57,TRUE,
47,41,FALSE,
87,83,FALSE,
93,98,FALSE,
22,32,TRUE,
82,70,FALSE,
79,72,FALSE,
71,77,FALSE,
99,81,TRUE,
17,12,TRUE,
69,72,FALSE,
51,50,FALSE,
91,97,FALSE,
76,82,FALSE,
28,44,FALSE,
21,28,TRUE,
19,21,FALSE,
21,18,TRUE,
21,23,TRUE,
12,3,TRUE,
57,50,TRUE,
